title,url
Data Jumlah Korban Kekerasan Terhadap Perempuan dan Anak Yang Ditangani Oleh ...,/dataset/jumlah-korban-kekerasan-terhadap-perempuan-dan-anak-berdasarkan-yang-melapor-ke-kepolisian-2018
Data Jumlah Korban Kekerasan Terhadap Perempuan dan Anak Yang Ditangani Oleh ...,/dataset/jumlah-korban-kekerasan-terhadap-perempuan-dan-anak-berdasarkan-klien-anak-per-wilayah-kota
Data Jumlah Penumpang Transjakarta Tahun 2018,/dataset/data-jumlah-penumpang-transjakarta-tahun-2018-kpi
Data Penyandang Masalah Kesejahteraan Sosial (PMKS) Wilayah Kota Administrasi...,/dataset/data-pmks-tahun-2018-jakarta-pusat
Data Kependudukan Wilayah Kota Adm Jakarta Selatan,/dataset/data-kependudukan-wilayah-kota-adm-jakarta-selatan-tahun-2018
Data Realisasi Belanja Pejabat Pengelola Keuangan (PPKD),/dataset/data-realisasi-belanja-ppkd-2018
Data Janda Perintis Kemerdekaan tahun 2019,/dataset/data-janda-perintis-kemerdekaan-tahun-2019
Data Sekolah Madrasah Aman Bencana,/dataset/data-smab
Data Pendampingan Kelurahan Tangguh Bencana,/dataset/data-pendampingan-kelurahan-tangguh-bencana
Data Konflik Sosial,/dataset/data-konflik-sosial
Data RW Kumuh di Wilayah Kota Administrasi Jakarta Pusat Tahun 2018,/dataset/data-rw-kumuh-di-wilayah-kota-administrasi-jakarta-pusat-tahun-2018
Data Penerima Program Keluarga Harapan (PKH) Provinsi DKI Jakarta Tahun 2019,/dataset/data-penerima-program-keluarga-harapan-pkh-provinsi-dki-jakarta
Data Pendamping Program Keluarga Harapan (PKH),/dataset/data-pendamping-pkh-2019
Data Jumlah Layanan Kearsipan Tahun 2018,/dataset/data-jumlah-layanan-kearsipan-tahun-2018
Data Penduduk per Kecamatan di Kota Administrasi Jakarta Pusat,/dataset/data-penduduk-kota-administrasi-jakarta-pusat-tahun-2018-per-kecamatan
Data Rekapitulasi Kunjungan Tamu Pemprov DKI Jakarta,/dataset/data-rekapitulasi-kunjungan-tamu-pemprov-dki-jakarta
Data Realisasi Penanganan Kemiskinan,/dataset/data-realisasi-penanganan-kemiskinan
Data Penerima Hibah Bantuan Sosial,/dataset/data-penerima-hibah-bansos-2018
Data Produk Hukum Keuangan,/dataset/data-produk-hukum-keuangan-2018
Data Rekapitulasi Kunjungan Tamu Daerah pada Satpol PP Provinsi DKI Jakarta T...,/dataset/data-rekapitulasi-kunjungan-tamu-daerah-pada-satpol-pp-provinsi-dki-jakarta-tahun-2018
"Data Tata Tertib Jalur Hijau, Taman dan Tempat Umum di Wilayah Provinsi DKI J...",/dataset/data-tata-tertib-jalur-hijau-taman-dan-tempat-umum-di-wilayah-provinsi-dki-jakarta-tahun-2018
Data Rekapitulasi Hasil Penjangkauan dan Penertiban Penyandang Masalah Keseja...,/dataset/data-rekapitulasi-hasil-penjangkauan-dan-penertiban-pmks-jalanan
Data Kejadian Bencana di Provinsi DKI Jakarta Tahun 2018,/dataset/data-kejadian-bencana-di-provinsi-dki-jakarta
Data Koleksi Perpustakaan Tahun 2018,/dataset/data-koleksi-perpustakaan-tahun-2018
Data Pemenang Lomba Sekolah Sehat,/dataset/pemenang-lomba-sekolah-sehat
Data Rekapitulasi Penatausahaan Acara Pimpinan Daerah,/dataset/data-rekapitulasi-penatausahaan-acara-pimpinan-daerah
Data Lokasi Binaan Pedagang Kaki Lima di Provinsi DKI Jakarta,/dataset/data-lokasi-binaan-pedagang-kaki-lima-di-provinsi-dki-jakarta
Data Ekspor DKI Jakarta Tahun 2018,/dataset/data-ekspor-dki-jakarta-tahun-2018
Data Jumlah Korban Kekerasan Terhadap Perempuan dan Anak Yang Ditangani Oleh ...,/dataset/jumlah-korban-kekerasan-terhadap-perempuan-dan-anak-ditangani-p2tp2a-berdasarkan-pelaku-kekerasan
Data Lokasi Pompa Air DKI Jakarta,/dataset/data-lokasi-pompa-air-dki-jakarta
Data Pusat Pelayanan Keluarga Sejahtera (PPKS) DKI Jakarta,/dataset/data-pusat-pelayanan-keluarga-sejahtera-ppks-dki-jakarta-2018
Data Kelurahan Sadar Hukum,/dataset/data-kelurahan-sadar-hukum
Data Penerima Hibah Bantuan Sosial Tahun 2016,/dataset/data-penerima-hibah-bansos-tahun-2016
Data Rekap Jumlah Hidrant Di DKI Jakarta Tahun 2018,/dataset/data-rekap-jumlah-hidrant-di-dki-jakarta-tahun-2018
Data Hasil Penertiban Minuman Beralkohol Pada Satpol PP Provinsi DKI Jakarta,/dataset/data-hasil-penertiban-minuman-beralkohol-pada-satpol-pp-provinsi-dki-jakarta
Data Atlet Disabilitas DKI Jakarta,/dataset/data-atlet-disabilitas-dki-jakarta-tahun-2018
